position,zone,lng,lat
浦东新区八灶村顾家宅,47_67,121.71852002198254,31.154318082751118
浦东新区白杨路1065弄,52_55,121.56564998351654,31.199409880283916
浦东新区百曲村,43_54,121.5546630711292,31.117902747608948
浦东新区板泉路1201弄,49_51,121.51162382404378,31.169377277763573
浦东新区板泉路2000弄,49_53,121.5396370322197,31.173126810191622
浦东新区板泉路2101弄,49_53,121.53960469322134,31.168815850763366
浦东新区板泉路50号,48_50,121.50119826995608,31.163464745166774
浦东新区板泉路95弄,48_50,121.49532002819045,31.16093118516965
浦东新区北艾路155弄,51_54,121.5498820268999,31.192539931368604
浦东新区北艾路1660弄,50_52,121.53028818711626,31.187040813780268
浦东新区北艾路1765弄,50_52,121.53177982341558,31.186474858613483
浦东新区北艾路73弄,51_54,121.54971853529707,31.192444941977296
浦东新区北艾路862弄,51_53,121.54353657643851,31.189953328133143
浦东新区北蔡村丁家队丁家宅,51_55,121.56985791601693,31.192184222632797
浦东新区北蔡大街31弄,51_55,121.56054356584508,31.19367809757782
浦东新区北新园路350弄,65_61,121.63335446132862,31.32701601446308
浦东新区北张家浜路58号,54_52,121.52762345365146,31.222173076955738
浦东新区博华路1018弄,49_55,121.55750199321884,31.176850857976813
浦东新区博华路237弄,51_54,121.55315868607809,31.190083150395562
浦东新区博华路999弄,49_54,121.55711392523853,31.17680629046571
浦东新区博山东路128弄,58_56,121.57133994044729,31.255301286861958
浦东新区博山东路20弄,57_55,121.5660388599718,31.253391023400393
浦东新区博山路12弄,57_55,121.56302208057765,31.251852180243006
浦东新区博山路199弄,57_55,121.55991259605486,31.24953834963595
浦东新区博山路51弄,57_55,121.5636509842652,31.250794833134776
浦东新区博兴路462弄,59_57,121.58940908628885,31.27201836204534
浦东新区博兴路465弄,59_57,121.58987225260978,31.272066665151705
浦东新区彩云路567弄,21_75,121.81425863848891,30.90479082708333
浦东新区蔡路村东蔡家宅,55_70,121.75183443079128,31.230186868212748
浦东新区蔡路村西蔡家宅,54_69,121.73746429705191,31.219746024972316
