"","x"
"1",2.07726828543887
"2",1.57945532817575
"3",1.77611613556932
"4",1.58863990012112
"5",1.35993228180163
"6",1.18321250993577
"7",1.09674692278632
"8",1.05059335799048
"9",1.01094355691323
"10",0.841516419126695
"11",0.856513197728909
"12",0.815577005855273
"13",0.85362731344668
"14",0.841806020662026
"15",1.24051177490806
"16",1.34530854159313
"17",1.21535722257004
"18",1.10779424732054
"19",1.04541468638116
"20",0.942250616586458
"21",0.919103322918684
"22",0.51448311238062
"23",0.416205459696137
"24",0.377709416111431
"25",0.314355088768594
"26",0.329415158212851
"27",0.364260474369919
"28",0.313024798259133
