"","x"
"1",2.39004711887818
"2",1.82077257351852
"3",1.90904305731342
"4",1.68961729748987
"5",1.45775993430571
"6",1.31418471023718
"7",1.12235803404277
"8",1.05708783972943
"9",1.05696584334869
"10",0.899482486149276
"11",0.791643411511914
"12",0.853408537723464
"13",0.890561478912333
"14",0.931084206421739
"15",0.918079195793088
"16",0.95572967327081
"17",0.957416466765065
"18",1.04948300533404
"19",0.983352883366166
"20",0.885563168621531
"21",0.911931694260161
"22",0.861785138308364
"23",0.750572474796761
"24",0.671794726946384
"25",0.604687872873715
"26",0.590393019611732
"27",0.627331091707266
"28",0.496626318683331
