title,time,hot,emo,count
上海市卫健委：本轮疫情多点散发，流调溯源正在进行中,39,277,中性,1
上海昨日新增本土确诊病例3例,745,255,中性,1
这颗“防护定心丸”送给你,1129,119,中性,1
上海禁燃烟花 迪士尼为什么能放烟花呢？,1923,94,中性,1
跨越时空 为您服务,27,94,中性,2
今天起，要涨价了！,2158,93,中性,1
2022年事业单位公开招聘启动，3月7日起报名,756,87,中性,2
柴闪闪代表：和大家一起努力共同拥有闪闪发光的人生,841,82,正面,1
上海采纳轮椅女孩建议完善无障碍设施,758,65,正面,3
好消息！这些补贴，社保卡上就能领,2045,63,中性,2
上海仁济医院南院区暂停门急诊、发热门诊医疗服务,956,60,中性,2
华东师大团队《细胞》封面发文：破解局部热疗减脂机制,1441,56,中性,1
上海世赛主题彩绘飞机发布，东航“技能梦想号”向全球发出匠心英雄帖,1134,52,正面,2
“童年回忆”被卖1.77亿元！,1804,48,中性,2
关于当前疫情防控的提醒,1033,45,中性,3
上海“85后”小哥走上代表通道！,1026,45,正面,4
视频|鹏华首席资产配置官郑科：FOF将成为长期资产增值的终极解决方案,1710,37,中性,1
女子高铁上强行霸座，被行拘5日,2007,36,负面,3
罗店大理石保养、木地板打蜡、地毯清洗、擦玻璃等服务，预约方式一览,808,36,中性,3
29万亿市场大消息，又一家获准开业！,1058,35,中性,5
市监局回应餐厅中餐日作被指宰客：属市场行为，觉得价格不合理可以不去,818,34,负面,4
世界技能大赛赞助商：用985毕业生薪酬招聘优秀青年油漆工,926,33,中性,5
上海这片“试验田”代表国家开启高阶探索，代表委员争相建言献策,1726,32,中性,2
周浦居民封阳台、纱窗定制与维修、晾衣架定制与维修，预约方式介绍,800,32,中性,6
重要提醒：上海来温返温人员，请注意,1713,30,中性,3
上海残奥运动员李豪在冬残奥会开幕式上护送会旗入场,720,30,正面,4
虹桥国际开放枢纽建设一周年有什么亮点,2100,29,中性,4
女人不管多少岁，最好别在这3个时间段“敷面膜”，浪费不说还伤脸,630,29,中性,5
上海一男子用钢锯切割ATM机，“想偷个十来万去做小生意”,1726,28,负面,4
上海发布：排查和管控是阻断疫情传播的必要措施，请不要担心,936,28,中性,7
上海20路公交今“庆生”，114岁将告别“青年”,2108,27,中性,5
全国政协委员胡卫：区域创新高地优势互补,807,27,中性,8
柴闪闪：传递更多基层心声,733,27,正面,6
孕妇：感谢同济医院医护一路护航,1735,26,正面,5
老人3万现金被老鼠咬坏，银行及时清兑2.3万,1138,26,中性,6
从新三板转战科创板用友汽车上会在即：科创属性、成长性等疑问待解,1145,24,中性,7
AITO问界M536城同启交付，500余家体验中心铺设完毕,2314,23,中性,1
全国政协委员黄绮：建议将个人在家庭中付出纳入离婚经济补偿,2059,23,中性,6
出入公共场所如何做好防护,1834,23,中性,3
代表日记｜劳动者心声，不止“可凡倾听”,1109,23,中性,8
上海临港新片区迎更大力度压力测试,947,22,中性,9
38年前的往事！上海12万青年捐近7吨杂铜铸成雷锋像,1528,21,正面,2
“我为人人人人为我”，普陀这些“雷锋”就在我们身边,1452,21,正面,3
上海百年公交线路20路迎来114岁生日,1138,21,中性,9
上海：流浪27年，听障人士小胡回家了,56,21,中性,3
上海第46届世界技能大赛各项筹备工作取得阶段性成果,56,21,中性,4
上海十院延长中路院区恢复部分运行，周日全天加开门诊,2215,20,中性,2
“外滩元宇宙中心”揭牌，万向区块链实验室创始人肖风说了三个判断,1935,20,中性,4
这个电话很重要，一定不要错过接听！,1726,20,中性,6
逛了趟超市一不小心就变成密接被隔离了，防护怎么做才安全,1416,20,中性,4
