title,time,hot,emo,count
上海将对此类人员“随申码”赋黄码,1908,1524,中性,1
上海要求保障群众急救需求,1227,792,中性,1
女子网恋一个月给男友转账92万 ,1002,791,负面,1
网传护士哮喘发作去世，上海东方医院回应,942,612,负面,1
上海一男子变造核酸检测报告日期被行政拘留,2117,354,负面,1
三张写着密码的银行卡牵出百人诈骗案,1205,212,负面,2
上海市场监管回应土豆每公斤破百,1532,210,负面,1
证监会撤销两家机构证券投资咨询服务业务许可,2017,197,中性,2
疫情之下，如何解决上海民众“急难愁”？,1138,197,负面,2
验车逾期免处罚、临牌申请2次变3次上海交警推11项便民服务措施,2051,177,中性,3
2022年上海市高中阶段学校考试招生工作实施细则发布,1146,161,中性,3
安全气囊存隐患部分迈凯伦GT即日起将实施召回,1704,152,中性,1
微纪录片｜战！在“疫”线,1417,141,正面,2
市商务委：16个区均不存在此情况,1208,137,中性,3
最近，大家都在“小区绿化带挖野菜”,818,122,中性,2
男子嫖娼被拘10天被公司以旷工为由开除 索赔14万被驳回,2050,114,负面,4
上海发布关于疫情防控期间认定哄抬价格违法行为的指导意见,1949,104,中性,2
3月25日上海市、区主要医疗机构医疗服务暂停与恢复情况,801,98,中性,3
这些防疫小细节忽略不得,750,97,中性,1
邬惊雷：16日以来还未接受筛查的居民尽快检测，以免转码,1051,86,中性,4
太可恶！女子盗窃老人救命钱还假装帮忙寻找,1459,84,负面,3
张文宏医生深夜发声：新冠没有那么吓人，但是仗很难打,2035,83,中性,5
上海发布回应：传言不实，交易正常,1802,81,中性,3
国家卫健委：上海、河北、福建、辽宁疫情存在社区传播风险,1526,77,中性,4
全体上海市民可以领96元副食品补贴,2155,72,中性,6
张文宏：第三针疫苗不接种口罩是摘不下的,1325,66,中性,4
让青春在抗疫大局中闪闪发光致全市各级团组织、共青团员、青少年的一封信,1947,63,正面,4
上海人注意：收到这条短信请配合做核酸,755,61,中性,2
火星北半球进入秋季“祝融号”悄悄“睡觉”挡沙尘暴,1142,59,中性,5
新华全媒+丨实施切块式、网格化筛查的“新打法”上海“疫”线直击,2031,58,中性,7
 搬家小哥一年帮人搬家1000次 只为让女儿留在上海接受更好的教育,1030,58,正面,6
420家上市公司1274位独董去年人均薪酬9.3万元亚钾国际独董薪酬同比增超3倍,658,58,中性,3
这家芯片企业宣称绝不向他低头，继续揭露举报，什么情况,819,57,负面,4
两人散播上海封城等不实信息被立案侦查,851,54,负面,5
此地取消体育中考！,817,53,中性,6
基金公司积极布局与等待观望同时并存,1227,52,中性,5
2022年上海市普通高校体育类专业统一考试工作调整,2004,51,中性,8
上交所发布《上海证券交易所与境外证券交易所互联互通存托凭证上市交易暂行办法》,1928,50,中性,5
商户积压上百万货，警方人性化操作,1051,50,负面,7
上海超市组志愿车队为封控小区送菜,1827,49,正面,6
上海00后女生教方言时薪六百 ,2039,44,中性,9
草莓是最脏的水果？专家辟谣,1347,43,中性,6
离婚时，他把房产无偿转让给妻子，竟是为了,1619,41,中性,2
上海闵行多个街镇周末全域封闭，首次使用抗原检测进行筛查,2108,38,中性,10
外高桥搬家服务，为什么这家搬家公司值得信赖,1833,38,中性,7
悠纯牧业就不当广告语致歉,1633,38,中性,3
最新全球金融中心排名：上海第四，深圳再入十强,49,38,中性,1
小米紧急捐赠抗疫物资，驰援上海、深圳、泉州三城抗疫一线,1815,36,正面,8
全球连线｜守望相助充满信心上海国际社区抗疫见闻,2149,35,正面,11
张玉花：星辰浩瀚，我们去点亮更多的星,1541,33,正面,5
国足前主帅去世！,1217,33,中性,7
AI进军银行业重新定义服务业态科技公司盯上千亿“蛋糕”,723,33,中性,4
多只基金放松限购 基金经理低位布局,645,33,中性,5
中新赛克：股东上海创芸、上海众诀拟合计减持不超1.9992%股份,1754,31,中性,4
被大股东掏空钱袋子，*ST新亿退市，中国卫浴第一股走向被告,909,31,负面,7
罐头“拯救计划”不顺利,2244,30,中性,1
作出保证前，先了解这20个答案,1533,30,中性,6
”他从“快递山”里为老人翻出靶向药,700,30,正面,6
穿上“五色战袍”，并肩抗疫！,2009,29,正面,12
公房承租人变更案,1752,29,中性,5
“应检未检”人员请尽快就近参加核酸检测,1541,29,中性,7
尽心照顾患病兄弟30年可以多分遗产吗？,1538,29,中性,8
猫眼娱乐2021年财报发布：持续深耕行业创造社会价值,1042,29,中性,8
居家防疫 勿忘消防安全,1026,29,中性,9
静止管理中，上海陆家嘴金融城“脉搏”平稳跳动,2253,28,正面,2
云端对话：中美跨文化交流带来了什么？,1554,28,中性,9
上海来温返温人员，请立即报备,1447,28,中性,10
股票复盘方法3.25：强势股补跌，市场底即将出现,2033,27,中性,13
“高仿台风”带来疾风大雨周末阳光再度回归申城,1811,27,中性,9
采样时为什么不能“啊”出声,1457,27,中性,11
传统工艺结合现代科技，上海贵酒股份持续提升酱酒品质,1431,27,中性,12
