title,time,hot,emo,count
上海风险人群中感染者比例下降，整体维持高位稳定,1027,1720,中性,1
上海阳性感染者人数仍处高位重复核酸检测非常必要,1142,506,中性,2
上海：明确对相关城市保供人员的检测要求,1636,442,中性,1
哄抬物价？上海通报：从重从快查处！,1739,425,负面,2
上海为何实施高频率核酸检测,1701,350,中性,3
上海继续实施全员检测筛查：核酸筛查为主、辅以抗原筛查,1022,350,中性,3
上海警方侦破一起销售假口罩案,1802,331,负面,1
上海：对重症患者实行“一人一方案”诊疗,1033,328,中性,4
上海发布《上海市工业企业复工复产疫情防控指引（第一版）》,1656,313,中性,4
是金山区超市4月15日真实画面,1609,291,中性,5
上海设卡查验快递小哥，一小时抓了20个阳性,839,291,负面,1
上海就医保障巡游出租汽车明日起可预约,2030,263,中性,1
社区抗疫，居村书记当“头雁”（抓细抓实各项防疫工作）,347,262,正面,1
防疫坚持这点，算的是大账！,1529,261,中性,1
完善筛查措施，做好重点区域、重点人群防控,2121,254,中性,2
上海：努力打通堵点，提升电商平台产能和运力,1050,253,中性,5
我国日核酸检测能力达5165万管技术人员近15万,2027,249,中性,3
上汽集团：18日开始进行复工复产压力测试,1630,245,中性,6
上海：继续加大本地蔬菜供应量,1052,228,中性,6
“00后”在上海当楼长,949,227,正面,2
福彩客服回应上海网点停销却冒出百万大奖,1135,225,负面,7
上海累计排查在沪密接者340106人,1018,215,中性,8
新闻特写丨守望相助 共同守“沪”,1034,212,正面,9
上海物资保供，怎么办？,1410,202,中性,2
112家商超对接77个村居上海安亭让市民需求“买得到”“拿得到”,1612,194,中性,7
继续坚持“动态清零”总方针，我们必须做到，我们能够做到,1117,189,中性,10
记者目击上海急诊大厅患者就医情况,2038,183,中性,4
夫妻合力设计路线图居民高效安全测核酸,1640,176,正面,8
封控期间儿童接种疫苗的时间到了怎么办,1801,166,中性,2
上海开设助老专仓，第一批物资已送达养老院,1118,165,正面,11
上海铁路局推出海铁联运班列，满足长三角与上海港货物运输需求,1918,164,中性,3
上海地产绿叶菜日均上市量已恢复到2000吨以上,2157,163,中性,5
上海方舱医院康复患者出舱前隔空向武汉援沪医生“道谢”,1635,160,正面,9
上海高校，抗疫答卷这样做,1642,159,中性,10
上海紧盯民生商品严查价格违法行为,1726,158,负面,11
上海气膜实验室：“大白”每天上千次蹲起观察曲线结果,2031,157,中性,6
上海已累计完成13轮核酸检测检测超2亿人次,1750,156,中性,12
上海女子“教科书级”操作,1955,155,中性,4
“三项行动”着力打通为民服务“最后一米”,1746,146,正面,13
上海加强保供人员健康检测,1558,145,中性,3
新闻特写丨微光成炬 守“沪”有我,2041,143,正面,7
中国儿基会、妇基会持续募集款物驰援上海抗疫,2029,143,正面,8
呵护新生儿的她们，开了场“云端”组织生活会,1846,143,正面,5
居村干部直面各类“意想不到”，他们需要更多理解体谅,1748,143,正面,14
上海：进一步加强重点场所预防性消毒工作,1756,138,中性,15
上海：热心楼组长为独居老人连送半个月热乎饭,1731,138,正面,16
“守沪者联盟”丨上海鞍山路：“三驾马车”守护1520户家庭平安,1723,138,正面,17
让村民少跑“冤枉路”，沪郊这个村的80后“掌门人”防疫保供有实招,2052,137,负面,9
一课不落一天不少我在方舱医院上网课,1642,135,中性,18
共同守“沪”上海科技抗疫突击队火速集结,2112,134,正面,10
上海就医保药应急平台招募“社区健康大使”，保障“供药生命线”,1822,134,正面,6
上海岳阳医院纪念路方舱医院医疗队首批患者出院,1710,133,正面,19
新华全媒+|灵活、高效、不停机上海移动核酸检测实验室一线直击,1010,132,中性,12
疫情下 芯片产业如何“不掉链”？,2054,129,中性,11
一图读懂学校等重点场所预防性消毒怎么做,1726,129,中性,20
新冠确诊患者“方舱生活记”：得到温暖，也温暖他人,1809,128,正面,7
搭建生命桥梁，制订详尽救治方案,2037,127,中性,12
封控区内“团长”马不停蹄的一天,1648,127,负面,21
上海：部分菜场筹措物资积极加入保供一线,1322,124,正面,1
”老书记杨兆顺奔赴多个社区增援，抗疫战场排兵布阵,2050,123,正面,13
天理战“疫”|国家卫生健康委：着力提升核酸检测能力助力“动态清零”,1919,123,中性,8
“00后”托尼老师变身志愿者为居民巧解“长发之困”,1616,113,正面,22
沪上眼科专家为居家网课中小学生传授护眼秘笈,1826,111,中性,9
告浦东新区全体居民书,2009,104,中性,14
为赚钱竟伪造防疫车辆通行证，两人被青浦警方采取刑事强制措施,1513,101,负面,4
上海居民收到变质肥猪肉？当地回应,1510,100,负面,5
央视新闻联播画面摆拍？真相是,1934,98,中性,10
“守沪者联盟”丨上海浦东新区：全力加快核酸检测速度,1647,97,中性,23
上海市民隔窗致谢援沪快递小哥,1807,95,正面,11
方舱日记 | 我在方舱医院当志愿者,1654,91,正面,24
上海辟谣一小区6名外卖小哥阳性,1550,88,负面,6
上海78岁尿毒症老人急需血透！然后,1721,85,负面,25
上海一区人大代表声明退出志愿服务？,1140,81,正面,13
抗疫进行时丨党员突击队身穿“大白服”，睡在办公桌，他们这样守护上海小弄堂,1815,80,正面,12
我的援沪日记丨“不管是哪里人，在这就是一家人”,1831,73,正面,13
当居委会人员被“感染”后,1542,62,正面,7
一小区对外卖小哥进行抗原检测发现6例阳性,1855,59,中性,14
为加快实现正向循环努力专家谈上海方舱医院收治与管理,900,58,中性,3
13例重症，均有这个特点,825,58,中性,4
推进“产改”进行时 五年回眸,908,53,中性,5
上海感染超27万，京东干了一件震撼人心的大事,1900,52,正面,15
“救命药”包裹滞留，民警出手紧急送达,730,47,正面,1
上海快递小哥外卖配送还安全吗,1324,46,中性,2
上海碳谷绿湾产业园：物流运输正在逐渐恢复,1616,45,中性,26
食物消毒不建议用84，消毒液用完了怎么办,839,45,中性,6
一男子被警方处罚，假证收缴,6,43,负面,1
睿远、高瓴等头部机构扎堆调研，这些公司被重点造访,925,42,中性,7
奉贤区首批31个“满天星”核酸采样点挂牌投运,1233,40,中性,3
上海发放2900多张蔬菜保供通行证，蔬菜企业复工率75%,1425,39,中性,8
周末影响一周市场的10大消息,1700,37,中性,27
疫情防控和复工复产问答看这里,2115,36,中性,15
上海嘉定577个货栈打通居民采买物资最后100米,1149,36,中性,14
上海：慢阻肺患者续上了“救命氧气”,1014,36,正面,15
宇宙“长征”计划：寻找“地球2.0”,642,36,中性,2
上海定点医院将中医治疗纳入阳性感染者的常规治疗流程,336,36,中性,2
疫情下的上海金融机构如何保障正常运转？,1213,35,中性,4
300多个人和5000多只动物的封闭生活,1200,35,中性,5
上海静安：疫情防控与检察办案“双轨并进”,816,35,中性,8
守护家园、并肩战斗TA们是平均年龄66岁的“老兵巡逻队”,2241,34,正面,1
上海呼吁符合条件的老年人尽快接种疫苗,1830,34,中性,16
