title,time,hot,emo,count
上海本土新增1249+8932，新增死亡47例,820,647,中性,1
上海首个市级方舱医院关舱,2020,503,中性,1
上海：上汽集团各整车厂和特斯拉都已稳定实现整车批量下线,1026,492,中性,1
上海：疫情防控还处在关键阶段，仍要强化社会面管控,1057,469,中性,2
上海就大礼包腐败查处多人,2049,445,负面,2
女子拒绝调岗“高管”变“客服”被开除 法院：公司违法，判赔59万,1241,270,负面,1
视频｜如何对中小企业纾困支持,1125,214,中性,3
无电子通行证仍接单跑腿，上海多名外卖骑手被警方行政处罚,1954,209,负面,1
“孩子的教育我得更用心”,1240,203,中性,2
专家：下一步重点是降低重症发生率,1400,185,中性,1
上海定点医院可收治床位2.3万张,1131,184,中性,4
患者自服务小程序上线助力上海最大方舱医院医疗服务,1507,169,中性,2
上海“亲子方舱”运行满月已有近千亲子家庭出舱,1226,163,中性,3
上海：集中力量统筹推进实现社会面清零目标,1118,157,正面,5
上海鼓励有条件的家中长辈尽快接种新冠疫苗,1120,156,中性,6
“抗原+核酸检测”相结合的科学依据是什么,2249,148,中性,1
二十个省份中医医疗队助力上海抗疫,601,148,正面,1
上海一核酸阳性人员为逃避管控翻墙外出，已被依法立案调查,1927,142,负面,2
静安：长者食堂保障暖心“老年餐”,1026,142,正面,7
科学防控高质量运行上海华山医院全面恢复医疗业务,1620,137,中性,1
他们为一名癌症晚期患者送“救命药”,1029,137,正面,8
金山枫泾：片区长“四送”服务助力复工复产,1406,133,中性,3
人民银行上海总部发布20条举措助力疫情防控和经济发展,1313,133,中性,4
上海近日公布首批534个常态化核酸采样点便民采样点亮相：“无接触式”采样安全便捷,1114,121,中性,9
上海：重型患者356例危重型患者57例新增本土死亡病例47例,1019,120,中性,10
疫线快评｜巩固清零阵地，扩大防疫成果,1529,118,中性,4
1.9万辆车远征海外，上海复工复产的积极信号，藏在这些口岸硬核数据里,1209,115,中性,5
上海闵行各派出所组建先锋队开展社区帮困工作,824,115,正面,2
上海企业自主研发的新冠mRNA疫苗获批进入临床试验,1503,114,中性,5
刘畊宏商标被多方抢注,1053,112,中性,11
上海战疫看点丨餐饮零售加速复工熟悉的快乐要回来了,1312,105,中性,6
央企援沪医疗队队员的日记（二）,1403,102,正面,6
静待那个熙熙攘攘的上海,1543,99,正面,7
上海最大方舱医院为学生读书学习创造条件,1903,98,中性,3
上海三甲医院常规医疗服务陆续恢复,1121,95,中性,12
上海：汽车业稳步推进复工复产,1244,94,中性,7
各地继续采取积极有力措施坚决筑牢防疫屏障,952,94,正面,3
你关心的疫情期间工资发放问题，这张图说明白了,1215,92,中性,8
海报｜“疫”线劳动者,2033,91,中性,3
全家便利店店长在外卖平台回复了一串神秘数字，却把上海人整破防了,1503,89,中性,8
上海34家市级医院千名专家“五一”期间“云端”义诊（附互联网医院问诊贴士）,2340,88,中性,2
上海：与4月28日相比29日封控区、管控区涉及人数减少,1008,83,中性,13
这些新规5月1日起施行,800,83,中性,4
上海海警局对辖区渔船开展休渔期普法宣传,1801,80,中性,4
上海交警推十项便民服务举措，可延后办理机动车和驾驶证业务,1549,79,中性,9
上海查处巴黎贝甜等4家食品生产企业,2248,78,负面,3
（上海战疫录）韩国籍医生朴永镇：不能带走的“爱心纸条”,2150,72,正面,4
长三角五海关发布联合通告保障产业链供应链安全畅通,1714,67,中性,2
有料青年|直击上海定点医院新冠肺炎重症救治现场,1332,64,中性,9
与妻援沪快递员曾获全国五一劳动奖章：没想到送快递可以帮忙 感觉很自豪,1227,62,正面,10
重点企业逐步复工复产，临港产业区生机重现,1945,60,中性,5
本市发布最新常态化核酸采样点名单，截至4月30日全市已有1131个点位开放,2340,56,中性,4
上海警方查获一起伪造防疫通行证件案件,1951,52,负面,6
上海地铁将分阶段运营恢复？官方回应,1109,52,中性,14
问题酱鸭、白糖、大米 查清楚了！问题保供物资来自同一家供应商,1029,48,负面,15
上海一女子携2岁女儿投湖被救，警方：由家庭矛盾引发，正调查女子行为,1927,47,负面,7
尽量户外拆包装，消毒后放十至三十分钟再接触,1400,47,中性,10
（上海战疫录）“城市摆渡人”贾春雷：志愿者里的“老将”,1037,45,正面,16
上海：电商运力提升、超市卖场恢复运营，将推出商贸复工复市“白名单”,2339,43,中性,5
盒马大润发饿了么在沪保供覆盖8成小区，全力服务居民生活与复工复产,1545,43,中性,11
符合这些条件的员工可办理返岗电子通行证,1503,42,中性,12
注意！微信、微博等，均有一个大变化,1354,42,中性,11
肯德基、麦当劳、汉堡王哄抬物价,804,42,负面,5
新华时评：上海疫情稳中向好，不松劲才能夺取最终胜利,2349,38,正面,6
方舱里“火焰蓝”的誓言：我会守护你，拉钩,1000,35,正面,17
700余家餐饮连锁品牌恢复外卖,1258,34,中性,12
红黄绿|上海建筑工地实施疫情防控分类管控,1733,33,中性,3
杨子黄圣依捐赠两辆负压救护车，驰援上海同心守“沪”,1006,33,正面,18
女人“毁容”的三种行为，熬夜才排第二，第一个很多人忽略了,700,33,中性,2
4月30日市、区主要医疗机构暂停医疗服务情况,1446,32,中性,13
自明天起，机场七线由龙阳路站调整至上海南站,1435,32,中性,14
淘宝天猫:启动“侬好上海”20条服务商家复工复产,1407,30,中性,15
什么是阴阳合同？生活中哪些合同可能违法？,1057,30,中性,19
海港官宣：张琳芃徐新加盟球队 欢迎回家,912,30,中性,6
最新提示：出院出舱人员返家后，随身行李建议放置14天后再打开,2102,29,中性,5
