title,time,hot,emo,count
上海市卫健委主任：对急诊、手术室、重症监护室、孕妇分娩室等，非必要不封控,1732,838,中性,1
直播：上海市召开疫情防控新闻发布会,1000,766,中性,1
解码魔都|疫情下，世界最大口岸城市上海这样稳链固链,1500,570,中性,1
上海今起在非重点区域开展抗原检测,1037,355,中性,2
一颗大白菜卖77.9元，上海高岛屋被顶格罚款50万元,2012,347,负面,1
共克时艰 人民至上,925,259,正面,1
实施切块式、网格化筛查的“新打法”上海“疫”线直击,1127,178,中性,3
上海一男子变造核酸检测报告日期被行政拘留,1339,161,负面,1
官方辟谣，聊天当事人也承认“我只是猜测”,1523,146,中性,2
男子嫖娼被拘10天遭公司开除索赔14万,1456,139,负面,3
上海杨浦临退休老民警主动请缨参加疫情防控,1017,138,正面,4
与“隐匿”的病毒赛跑,1948,132,中性,1
邬惊雷：不属实，上海已在7个场所完成集中隔离收治点改建,1115,131,中性,5
上海多区发布告居民书,806,103,中性,2
上海一女子忘带钥匙翻窗被卡,1728,102,负面,2
坠机乘客家属遭遇网暴，请给他们怀念的自由,1502,94,负面,4
女子盗窃老人救命钱后竟假装帮忙寻找,1330,94,负面,2
关于“应检未检”人员“随申码”赋黄码，解答来了,808,90,中性,3
为攀登技能顶峰蓄力,1101,77,中性,6
上海一百货公司被顶格处罚50万,2104,56,负面,2
仅仅10秒！烟气迅速充满整个楼道,1500,56,负面,5
暖心！3岁社牛萌娃与窗外工人唠家常,2015,55,正面,3
一月转款92万元给恋人，是谁如此“豪气”,1344,53,负面,3
沪发布2022年高中阶段学校考试招生工作实施细则,800,52,中性,4
视频｜战胜疫情有你有我,1927,51,中性,2
两机构“花式”忽悠投资者被取消业务许可,1708,51,负面,3
今年上海市普通高校体育类专业统一考试暂定4月23日举行,756,50,中性,1
上海快递明明整体运转正常，为什么有人收不到快递,1358,46,中性,4
上海多家医院陆续恢复门急诊服务,1004,46,中性,7
基金经理的寒冬何时会结束？,1845,45,中性,3
上海机关干部最近不坐班了，下一线帮忙,913,44,中性,5
高瓴又出手！大手笔布局,753,43,中性,2
微纪录片｜上海四万人特大小区封闭筛查“名场面”是怎么炼成的,2259,41,中性,1
茅台酒价格连续两天全线崩跌，两大利空引发滑铁卢,1536,41,负面,6
上海交警推疫情期间11项便民举措,1023,39,中性,8
新冠病毒抗原自测基本要求及流程,1643,38,中性,4
全上海市民可领96元副食品补贴,1034,37,中性,9
技术突破，脑机接口将成下一代元宇宙入口,2032,36,中性,4
男子酒驾逃逸累瘫绿化带 民警抓正着,1105,35,负面,10
女博士患癌，副教授丈夫跪求离婚：我才40岁啊，放过我吧,810,35,中性,6
具备疫情溯源、物资保供等功能上海推进“场所码”应用,715,35,中性,3
“采送检报”24小时，核酸报告是这样出炉的,1508,34,中性,7
上海医护开“绿色通道”为危急症患者“赢回”生机,1437,34,正面,8
六十位馆长、学者联名倡议博物馆积极参与建构元宇宙,1723,33,中性,5
穿上“五色战袍”，并肩抗疫！,1155,33,正面,11
朋友圈流传挖野菜攻略？专家紧急提醒,800,33,中性,7
上海铁路：多措并举 防控疫情,2118,32,中性,5
“疫”起买菜小程序、核酸检测实验室徐汇科技人筑起防疫“长城”,5,31,正面,1
上海“保货源、抓防疫”严厉打击哄抬价格等违法行为,1139,30,中性,12
近四千警力就地增援社区要靠“抢单”，上海公安机关筑起抗疫“铜墙铁壁”,2155,29,正面,6
上海市新闻发言人：坚持就是胜利，坚持才能胜利,1430,29,正面,9
又一人，彻底凉了！,1225,29,负面,5
世赛冠军去哪儿了？,1143,29,中性,13
3月26日市、区主要医疗机构暂停医疗服务情况,2150,28,中性,7
"这个""抗疫援助专项行动""募捐通道开启啦",1153,28,正面,14
42岁高危孕产妇感染新冠后，在上海公卫中心诞下健康女婴,746,28,中性,4
